code,predictweek,predicted_range,predicted_prob,type,weekly_returns,display_name,name,weights
603369.XSHG,2019-03-24,0,0.25140053721750855,Long,0.045220150733835895,今世缘,JSY,0.356165
000860.XSHE,2019-03-24,0,0.2502229991044338,Long,0.14563617245005256,顺鑫农业,SXNY,0.143835
300498.XSHE,2019-03-24,4,0.2635319021010465,Short,0.021523178807946963,温氏股份,WSGF,0.37119
000977.XSHE,2019-03-24,4,0.2526671286763232,Short,-0.0454750112561908,浪潮信息,LCXX,0.12881
600352.XSHG,2019-03-31,0,0.2914348407364302,Long,0.3692434210526314,浙江龙盛,ZJLS,0.61308
002422.XSHE,2019-03-31,0,0.2675792463767892,Long,0.03756906077348088,科伦药业,KLYY,0.38692
300347.XSHE,2019-04-07,0,0.26568021375990086,Long,-0.032133090246125866,泰格医药,TGYY,1.0
002601.XSHE,2019-04-14,0,0.25989743980691826,Long,-0.03967761934283931,龙蟒佰利,LMBL,1.0
600977.XSHG,2019-04-28,0,0.27382582117784404,Long,-0.1578699340245051,中国电影,ZGDY,1.0
603986.XSHG,2019-05-05,0,0.25051728287333097,Long,-0.14185945002182465,兆易创新,ZYCX,0.5
002456.XSHE,2019-05-05,4,0.38955567788886103,Short,-0.0,欧菲光,OFG,0.5
601018.XSHG,2019-05-19,4,0.2720898264565771,Short,-0.05491990846681927,宁波港,NBG,1.0
603501.XSHG,2019-06-02,4,0.3698571231852492,Short,0.04430235213519063,韦尔股份,WEGF,1.0
600848.XSHG,2019-06-16,4,0.3128322409252639,Short,-0.0013637913399251467,上海临港,SHLG,1.0
603501.XSHG,2019-06-30,0,0.25351789539572095,Long,0.07633287428683855,韦尔股份,WEGF,1.0
603501.XSHG,2019-07-07,0,0.2648007223923399,Long,-0.007859623469201216,韦尔股份,WEGF,1.0
600848.XSHG,2019-08-18,4,0.4020469496000848,Short,0.07164179104477619,上海临港,SHLG,1.0
600183.XSHG,2019-09-01,0,0.26414288922435947,Long,-0.0008322929671243928,生益科技,SYKJ,0.5
600848.XSHG,2019-09-01,4,0.2734122499073085,Short,0.017837641062977694,上海临港,SHLG,0.5
600848.XSHG,2019-09-08,4,0.26730495411067307,Short,-0.00148257968865817,上海临港,SHLG,1.0
000876.XSHE,2019-10-06,4,0.25754645998543757,Short,-0.05107692307692302,新希望,XXW,1.0
000977.XSHE,2020-02-23,4,0.250534221382706,Short,-0.01598173515981749,浪潮信息,LCXX,1.0
300413.XSHE,2020-03-01,4,0.26106901547294076,Short,0.11541549578482535,芒果超媒,MGCM,1.0
300122.XSHE,2020-03-08,0,0.2515714031109352,Long,0.10036678892964336,智飞生物,ZFSW,0.5
601360.XSHG,2020-03-08,4,0.25457646630436087,Short,0.0008972633467922987,三六零,SLL,0.185875
002594.XSHE,2020-03-08,4,0.2525040657940986,Short,0.00015297537096536917,比亚迪,BYD,0.314125
600570.XSHG,2020-03-15,0,0.2527375179474205,Long,-0.06779885896245186,恒生电子,HSDZ,1.0
002153.XSHE,2020-03-22,4,0.43147191227588066,Short,0.08024158757549615,石基信息,SJXX,0.32964
000723.XSHE,2020-03-22,4,0.39209162509529866,Short,0.03668478260869568,美锦能源,MJNY,0.00769
